layer,description,depth,unit,NA,format,specs,source,citation_url,citation_originator,citation_adress,publication_date
BDRICM_M_250m_ll.tif,Depth to bedrock (R horizon) up to 200 cm,None,cm,-99999,Int32,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BDRICM_M_250m_ll.tif,http://www.isric.org/data/soilgrids,College of Global Change and Earth System Science - Beijing Normal University / ISRIC - World Soil Information,shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,12.05.2016
BDRLOG_M_250m_ll.tif,Predicted probability of occurence (0-100%) of R horizon,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BDRLOG_M_250m_ll.tif,http://www.isric.org/data/soilgrids,College of Global Change and Earth System Science - Beijing Normal University / ISRIC - World Soil Information,shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,12.05.2016
BDTICM_M_250m_ll.tif,Absolute depth to bedrock (in cm),None,cm,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BDTICM_M_250m_ll.tif,http://www.isric.org/data/soilgrids,College of Global Change and Earth System Science - Beijing Normal University / ISRIC - World Soil Information,shanggv@bnu.edu.cn / jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl1_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 0.00 m,0.00 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl2_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 0.05 m,0.05 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl3_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 0.15 m,0.15 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl4_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 0.30 m,0.30 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl5_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 0.60 m,0.60 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl6_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 1.00 m,1.00 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
BLDFIE_M_sl7_250m_ll.tif,Bulk density (fine earth) in kg / cubic-meter at depth 2.00 m,2.00 m,kg / cubic-m,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/BLDFIE_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl1_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 0.00 m,0.00 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl2_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 0.05 m,0.05 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl3_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 0.15 m,0.15 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl4_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 0.30 m,0.30 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl5_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 0.60 m,0.60 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl6_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 1.00 m,1.00 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CECSOL_M_sl7_250m_ll.tif,Cation exchange capacity of soil in cmolc/kg at depth 2.00 m,2.00 m,cmol / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
